,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
InvestmentIncomeInterest,4000000.000,2000000.000,2000000.000,3000000.000,2000000.000,1000000.000,2000000.000,2000000.000,2000000.000,1000000.000,1000000.000,1000000.000,2000000.000,1000000.000,2000000.000,2000000.000,2000000.000,2000000.000,4000000.000,3000000.000,3000000.000,2000000.000,3000000.000,4000000.000,3000000.000,3000000.000
LiabilityForAsbestosAndEnvironmentalClaimsNetClaimsPaid,,,,,3000000.000,,,,7000000.000,,,,7000000.000,,,,5000000.000,,,,3000000.000,,,,,
LiabilityForAsbestosAndEnvironmentalClaimsNetPaymentForClaims,,,,,,,,,,,,,,,,,,,,,,,,,3000000.000,
LitigationSettlementExpense,,,,,,,,,,,,,,,,,,,,,,,,,,16000000.000
LossContingencyClaimsSettledAndDismissedNumber,,,,,1000.000,,,,500.000,,,,1000.000,,,,1000.000,,,,,,,,,
LossContingencyNewClaimsFiledNumber,,,,,1000.000,,,,1000.000,,,,1000.000,,,,1000.000,,,,,,,,,
LossesGainsOnSalesOfAssetsAndAssetImpairmentCharges,,0.000,-2000000.000,,,-10000000.000,-14000000.000,,,,,,,,,,,,,,,,,,,
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,,,,,,,,,,,,,-8000000.000,,,,9000000.000,,,,8000000.000,,,,13000000.000,
MinorityInterestDecreaseFromRedemptions,-5000000.000,,,,,,,,10000000.000,,,,98000000.000,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,353000000.000,,,,338000000.000,,,,439000000.000,,,,147000000.000,,,,886000000.000,,,,-4000000.000,,,,199000000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,353000000.000,,,,338000000.000,,,,439000000.000,,,,147000000.000,,,,886000000.000,,,,-4000000.000,,,,199000000.000,
NetCashProvidedByUsedInInvestingActivities,-101000000.000,,,,-48000000.000,,,,-52000000.000,,,,-73000000.000,,,,-1246000000.000,,,,-48000000.000,,,,-104000000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-101000000.000,,,,-48000000.000,,,,-52000000.000,,,,-73000000.000,,,,-1246000000.000,,,,-48000000.000,,,,-104000000.000,
NetCashProvidedByUsedInOperatingActivities,-317000000.000,,,,-389000000.000,,,,-432000000.000,,,,-495000000.000,,,,-287000000.000,,,,-408000000.000,,,,-320000000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-317000000.000,,,,-389000000.000,,,,-432000000.000,,,,-495000000.000,,,,-287000000.000,,,,-408000000.000,,,,-320000000.000,
NetIncomeLoss,16000000.000,129000000.000,129000000.000,8000000.000,69000000.000,134000000.000,325000000.000,29000000.000,41000000.000,133000000.000,101000000.000,49000000.000,24000000.000,106000000.000,244000000.000,13000000.000,44000000.000,142000000.000,141000000.000,66000000.000,79000000.000,169000000.000,183000000.000,65000000.000,107000000.000,128000000.000
NetIncomeLossAttributableToNoncontrollingInterest,26000000.000,27000000.000,30000000.000,31000000.000,21000000.000,23000000.000,19000000.000,38000000.000,26000000.000,22000000.000,26000000.000,30000000.000,22000000.000,21000000.000,22000000.000,23000000.000,18000000.000,11000000.000,19000000.000,20000000.000,20000000.000,16000000.000,23000000.000,28000000.000,26000000.000,20000000.000
OperatingIncomeLoss,,,,,,,,,,,286000000.000,,227000000.000,,,,,,,,219000000.000,295000000.000,315000000.000,192000000.000,237000000.000,271000000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,,,,,16000000.000,17000000.000,17000000.000,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,6000000.000,,,,23000000.000,-24000000.000,43000000.000,,,,,,,,,,,,,,,,,,,
