,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
DeferredTaxLiabilitiesOther,,,,46000000.000,,,,41000000.000,,,,95000000.000,,,,89000000.000,,,,29000000.000,,,,21000000.000,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,1041000000.000,,,,1041000000.000,,,,1205000000.000,,,,1117000000.000,,,,1035000000.000,,,,899000000.000,,
DeferredTaxLiabilitiesTaxDeferredIncome,,,,,,,,,,,,,,,,,,,,,,,,9000000.000,,
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,,900000000.000,,,,800000000.000,,,,280000000.000,,,,,,,,,,,,,,
DefinedBenefitPlanAccumulatedBenefitObligation,,,,10296000000.000,,,,10817000000.000,,,,9798000000.000,,,,6847000000.000,,,,6166000000.000,,,,6064000000.000,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,,,,0.045,,,,0.037,,,,0.045,,,,0.037,,,,0.043,,,,0.040,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation,,,,10263000000.000,,,,10782000000.000,,,,9685000000.000,,,,6847000000.000,,,,6166000000.000,,,,6064000000.000,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets,,,,8307000000.000,,,,8614000000.000,,,,8986000000.000,,,,6353000000.000,,,,5639000000.000,,,,5482000000.000,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation,,,,10737000000.000,,,,11313000000.000,,,,10144000000.000,,,,7319000000.000,,,,6374000000.000,,,,6214000000.000,,
DueFromRelatedParties,,,,,,,,,,,,,,,,,,,,,,70000000.000,70000000.000,,,
DueFromRelatedPartiesCurrent,145000000.000,151000000.000,129000000.000,132000000.000,156000000.000,173000000.000,173000000.000,218000000.000,155000000.000,171000000.000,138000000.000,157000000.000,136000000.000,114000000.000,182000000.000,310000000.000,225000000.000,227000000.000,197000000.000,199000000.000,179000000.000,159000000.000,182000000.000,272000000.000,283000000.000,238000000.000
DueFromRelatedPartiesNoncurrent,,,,,,,,,,,,,,,400000000.000,362000000.000,336000000.000,108000000.000,106000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DueToRelatedPartiesCurrent,83000000.000,76000000.000,91000000.000,86000000.000,107000000.000,110000000.000,84000000.000,56000000.000,91000000.000,93000000.000,93000000.000,73000000.000,110000000.000,108000000.000,131000000.000,131000000.000,135000000.000,133000000.000,139000000.000,81000000.000,88000000.000,89000000.000,89000000.000,66000000.000,83000000.000,77000000.000
