,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesTax,-2000000.000,-3000000.000,3000000.000,-3000000.000,-4000000.000,1000000.000,-4000000.000,3000000.000,-4000000.000,0.000,1000000.000,1000000.000,-2000000.000,-2000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,28000000.000,53000000.000,-212000000.000,-168000000.000,-234000000.000,192000000.000,-115000000.000,23000000.000,13000000.000,-53000000.000,-2000000.000,-117000000.000,20000000.000,54000000.000
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,-36000000.000,-66000000.000,95000000.000,80000000.000,91000000.000,-121000000.000,79000000.000,-41000000.000,3000000.000,12000000.000,-1000000.000,-33000000.000,-1000000.000,0.000
OtherComprehensiveIncomeLossNetOfTax,26000000.000,50000000.000,-208000000.000,-221000000.000,-240000000.000,195000000.000,-120000000.000,9000000.000,8000000.000,-52000000.000,1000000.000,-175000000.000,19000000.000,52000000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,28000000.000,,,,-240000000.000,,,,10000000.000,,,,20000000.000,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,-1000000.000,-3000000.000,1000000.000,48000000.000,-1000000.000,-1000000.000,-1000000.000,18000000.000,-1000000.000,-1000000.000,0.000,59000000.000,-1000000.000,-3000000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,0.000,-1000000.000,-2000000.000,30000000.000,-1000000.000,0.000,-1000000.000,12000000.000,-1000000.000,0.000,-1000000.000,4000000.000,-1000000.000,0.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax,0.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansNetOfTax,-1000000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansTax,0.000,,,,,,,,,,,,,
OtherExpenses,,,,,,,,,,,,,23000000.000,11000000.000
OtherHotelOperatingRevenue,,,,,,,,,,,,,37000000.000,20000000.000
OtherNonoperatingIncome,,,,,,,,,,,,,1000000.000,
OtherNonoperatingIncomeExpense,3000000.000,11000000.000,24000000.000,-1000000.000,-25000000.000,18000000.000,1000000.000,5000000.000,0.000,-5000000.000,-10000000.000,-11000000.000,,5000000.000
OtherOperatingActivitiesCashFlowStatement,-67000000.000,,,,-2000000.000,,,,-161000000.000,,,,-129000000.000,
OtherTaxExpenseBenefit,,,,,0.000,,,,,,,,,
PaymentsForProceedsFromOtherInvestingActivities,,,,,,,,,,,,,19000000.000,
