,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,24225000.000,,,,79070000.000,,,,93877000.000,,,,118200000.000,,,,195200000.000,,,,232700000.000,,
NetIncomeLoss,3148000.000,-1069000.000,-2652000.000,-5276000.000,-51615000.000,-19998000.000,-8314000.000,-62830000.000,-27896000.000,-36315000.000,-43743000.000,-72523000.000,-110300000.000,3700000.000,-53700000.000,5200000.000,-15200000.000,-10800000.000,-19300000.000,-30900000.000,15700000.000,19800000.000,27000000.000
NonoperatingIncomeExpense,-9179000.000,-11523000.000,-14298000.000,-17845000.000,-126945000.000,-58118000.000,-56697000.000,-37631000.000,-50834000.000,-51708000.000,-49006000.000,-48832000.000,-61600000.000,-97700000.000,-128800000.000,-45000000.000,-64600000.000,-58400000.000,-69000000.000,-116000000.000,-64700000.000,-70700000.000,-63100000.000
NumberOfBusinessesAcquired,,,,,,,,,26.000,,,,,,,,,,,,,,
OperatingExpenses,61512000.000,75526000.000,82230000.000,86222000.000,183491000.000,199359000.000,189761000.000,304694000.000,232873000.000,250508000.000,261448000.000,304329000.000,359900000.000,226800000.000,284000000.000,307100000.000,314700000.000,310900000.000,420500000.000,435300000.000,417900000.000,416000000.000,459500000.000
OperatingIncomeLoss,16931000.000,13448000.000,22812000.000,23362000.000,46202000.000,44145000.000,61688000.000,-41255000.000,31472000.000,23091000.000,16590000.000,-13401000.000,-39300000.000,97100000.000,56700000.000,54800000.000,52100000.000,58700000.000,57500000.000,72000000.000,87000000.000,90700000.000,90700000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,4452000.000,-68000.000,-9338000.000,199000.000,9459000.000,3654000.000,1539000.000,4559000.000,-12300000.000,-8700000.000,-14500000.000,13200000.000,-4000000.000,-7700000.000,32000000.000,-7900000.000,-2100000.000,-24100000.000,3700000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,,,,,,,,,,,,,,,,1200000.000,,
OtherNonoperatingIncomeExpense,-11000.000,-19000.000,152000.000,1000.000,585000.000,224000.000,-508000.000,25000.000,663000.000,480000.000,125000.000,3771000.000,-14700000.000,-100000.000,,,-100000.000,-100000.000,-200000.000,100000.000,-200000.000,400000.000,500000.000
PaidInKindInterest,,,,,,,,,,,,,,,,,3500000.000,,,,2600000.000,,
PartnersCapitalAccountContributions,,,,,337203000.000,,,,1881000.000,,,,,,,,,,,,,,
PaymentsForProceedsFromOtherInvestingActivities,-2798000.000,,,,-3507000.000,,,,0.000,,,,,,,,300000.000,,,,-1500000.000,,
PaymentsOfDebtExtinguishmentCosts,,,,,39797000.000,,,,0.000,,,,,,,,,,,,,,
PaymentsOfDebtIssuanceCosts,,,,,,,,,,,,,,,,,,,,,700000.000,,
