,2011-10-31,2012-01-31,2012-04-30,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31
RetainedEarningsAccumulatedDeficit,-2134673.000,-3040865.000,-3935044.000,-5866018.000,-7058818.000,-7477465.000,-8192545.000,-9571095.000,-13762848.000,-15676037.000,-18691123.000,-21630961.000,-24043833.000,-25241069.000,-26209564.000,-27706393.000,-29245750.000,-30733319.000,-33627538.000,-37043901.000
SecuredDebtCurrent,,,,290150.000,320075.000,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedIntrinsicValue,,,,,540000.000,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,,,,,1392723.000,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,,,,,12000000.000,,,,,,,,,,,,,,,7449109.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,100000.000,400000.000,916667.000,3899999.000,4399999.000,,,6416666.000,9965829.000,,,11200826.000,13775825.000,14151658.000,14246666.000,14929161.000,16720000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,0.260,0.160,0.160,0.320,0.310,,,0.300,0.340,,,0.310,0.290,0.280,0.280,0.280,0.270
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,0.000,,,,,,,247500.000,665000.000,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,7100000.000,9400000.000,,9400000.000,17160000.000,,,17210000.000,17830000.000,,,18110000.000,17950000.000,23590000.000,23590000.000,23590000.000,23590000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,0.400,0.260,0.260,0.260,0.350,,,0.350,0.350,,,0.250,0.270,0.250,0.250,0.230,0.230
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,0.000,,,,611833.000,325333.000,488333.000,247500.000,665000.000,38113.000,520000.000,311646.000,96667.000,0.000,,,
ShortTermBorrowings,,,,,,,,,,,,,,,,,215173.000,,322511.000,373115.000
StockholdersEquity,2157395.000,1744366.000,1325341.000,519327.000,101570.000,1037993.000,5135452.000,3910576.000,2854948.000,4582272.000,2160003.000,1821767.000,-93847.000,-766656.000,-1468187.000,-2628253.000,-3427716.000,-4144060.000,-6534806.000,-8861812.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2157395.000,1744366.000,1325341.000,519327.000,101570.000,1037993.000,5135452.000,3910576.000,2854948.000,4582272.000,2160003.000,1821767.000,-93847.000,-766656.000,-1468187.000,-2628253.000,-3427716.000,-4144060.000,-6534806.000,-8861812.000
WeightedAverageRateDomesticDepositMoneyMarket,,,,0.001,,,,,,,,,,,,,,,,
