,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-05-03,2013-08-02,2013-11-01,2014-01-31,2014-05-02,2014-08-01,2014-10-31,2015-01-30,2015-04-03,2015-07-03,2015-10-02,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,,,,,,75000000.000,,108000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,207000000.000,182000000.000,-46000000.000,-136000000.000,183000000.000,173000000.000,177000000.000,125000000.000,127000000.000,62000000.000,-21000000.000,-80000000.000,71000000.000,-430000000.000,54000000.000,22000000.000,23000000.000,52000000.000,80000000.000,78000000.000,60000000.000,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,,,,,92000000.000,,
IncomeLossFromContinuingOperationsPerBasicShare,0.360,0.320,-0.270,-0.430,0.350,0.320,0.330,0.540,,0.130,-0.110,,0.600,-5.930,0.520,0.350,0.320,0.510,0.680,0.680,0.560,0.810,0.340,
IncomeLossFromContinuingOperationsPerDilutedShare,0.360,0.320,-0.270,-0.430,0.350,0.320,0.330,0.540,,0.130,-0.110,,0.590,-5.930,0.510,0.370,0.310,0.500,0.670,0.660,0.550,0.800,0.340,
IncomeLossFromDiscontinuedOperationsNetOfTax,1000000.000,66000000.000,1000000.000,-1000000.000,,,,,,-2000000.000,6000000.000,,-9000000.000,1000000.000,-4000000.000,19000000.000,18000000.000,0.000,0.000,0.000,0.000,0.000,0.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.010,0.190,,,,,,,,-0.010,0.070,,-0.120,0.010,-0.050,0.260,0.240,0.000,0.000,0.000,0.000,0.000,0.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,0.180,,,,,,,,-0.010,0.070,,-0.120,0.010,-0.050,0.260,0.240,0.000,0.000,0.000,0.000,0.000,0.000,
IncomeLossFromEquityMethodInvestments,,,,,,,,,,,,,,,,,,,,,,,,7000000.000
IncomeTaxExpenseBenefit,77000000.000,70000000.000,44000000.000,24000000.000,66000000.000,63000000.000,65000000.000,-59000000.000,46000000.000,18000000.000,-12000000.000,-48000000.000,25000000.000,9000000.000,16000000.000,-3000000.000,0.000,15000000.000,31000000.000,29000000.000,19000000.000,-17000000.000,41000000.000,34000000.000
IncomeTaxesPaid,7000000.000,,,,8000000.000,,,,2000000.000,,,,5000000.000,,,,60000000.000,,,,,,,
IncomeTaxesPaidNet,,,,,,,,,,,,,,,,,,,,17000000.000,,,,1000000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,17000000.000,,,,-554000000.000,,,,-38000000.000,,,,25000000.000,,,,30000000.000,,,18000000.000,,,,-37000000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,37000000.000,,,,28000000.000,,,,-3000000.000,,,,14000000.000,,,,-98000000.000,,,,,,,
IncreaseDecreaseInDeferredIncomeTaxes,-1000000.000,,,,,,,,1000000.000,,,,0.000,,,,-23000000.000,,,,,,,
IncreaseDecreaseInEmployeeRelatedLiabilities,10000000.000,,,,9000000.000,,,,-92000000.000,,,,-32000000.000,,,,-59000000.000,,,-51000000.000,,,,-86000000.000
IncreaseDecreaseInIncomeTaxes,,,,,,,,,,,,,,,,,,,,13000000.000,,,,31000000.000
IncreaseDecreaseInOtherAccruedLiabilities,,,,,1000000.000,,,,2000000.000,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherNoncurrentAssets,,,,,,,,,,,,,3000000.000,,,,,,,,,,,
IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,,,,,,,,,,,,,,,,,,,,2000000.000,,,,-20000000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,,,,,,,,,1000000.000,,,,-6000000.000,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,12000000.000,,,,,,,,-5000000.000,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-7000000.000,,,,16000000.000,,,,-59000000.000,,,,37000000.000,,,,29000000.000,,,11000000.000,,,,-6000000.000
IncreaseDecreaseInReceivables,81000000.000,,,,-3000000.000,,,,174000000.000,,,,49000000.000,,,,-17000000.000,,,48000000.000,,,,190000000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,1000000.000,1000000.000,,,,,,,,4000000.000,0.000,,1000000.000,0.000,1000000.000,-2000000.000,2000000.000,1000000.000,1000000.000,2000000.000,1000000.000,2000000.000,-3000000.000,3000000.000
InterestExpense,28000000.000,28000000.000,29000000.000,29000000.000,29000000.000,24000000.000,20000000.000,20000000.000,20000000.000,19000000.000,21000000.000,23000000.000,20000000.000,20000000.000,18000000.000,17000000.000,,,,,,28000000.000,,38000000.000
InterestIncomeExpenseNonoperatingNet,,,,,,,,,,,,,,,,,-14000000.000,-14000000.000,-14000000.000,-11000000.000,-13000000.000,,,
InterestIncomeOther,,,,,,,,,,6000000.000,5000000.000,,0.000,1000000.000,0.000,0.000,,,,,,3000000.000,,2000000.000
InterestPaid,,,,,,,,,,,,,,,,,,,,13000000.000,,,,32000000.000
InvestmentIncomeInterest,1000000.000,,2000000.000,,2000000.000,2000000.000,2000000.000,3000000.000,4000000.000,,,,,,,,,,,,,,,
LiabilitiesFairValueAdjustment,,,,,,,,,,,,,,,,,15000000.000,,,,,,,
LossContingencyDamagesSoughtValue,,,,,1000.000,,,,1000.000,,,,1000.000,,,,,,,,,,,
NetCashProvidedByUsedInContinuingOperations,,,,,,,,,,,,,-251000000.000,,,,-101000000.000,,,-46000000.000,,,,-170000000.000
NetCashProvidedByUsedInDiscontinuedOperations,-6000000.000,,,,,,,,-17000000.000,,,,4000000.000,,,,19000000.000,,,-1000000.000,,,,0.000
NetCashProvidedByUsedInFinancingActivities,-242000000.000,,,,-57000000.000,,,,-53000000.000,,,,-233000000.000,,,,-57000000.000,,,-27000000.000,,,,-77000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-242000000.000,,,,-57000000.000,,,,-53000000.000,,,,-233000000.000,,,,-57000000.000,,,-27000000.000,,,,-77000000.000
NetCashProvidedByUsedInInvestingActivities,8000000.000,,,,-7000000.000,,,,8000000.000,,,,-10000000.000,,,,-2000000.000,,,-1000000.000,,,,-5000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,8000000.000,,,,-7000000.000,,,,8000000.000,,,,-10000000.000,,,,-2000000.000,,,-1000000.000,,,,-5000000.000
NetCashProvidedByUsedInOperatingActivities,154000000.000,,,,-361000000.000,,,,-111000000.000,,,,-8000000.000,,,,-42000000.000,,,-18000000.000,,,,-88000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,154000000.000,,,,-361000000.000,,,,-111000000.000,,,,-8000000.000,,,,-42000000.000,,,-18000000.000,,,,-88000000.000
NetIncomeLoss,131000000.000,178000000.000,-89000000.000,-161000000.000,117000000.000,110000000.000,112000000.000,186000000.000,81000000.000,42000000.000,-3000000.000,44000000.000,37000000.000,-438000000.000,34000000.000,44000000.000,41000000.000,37000000.000,49000000.000,49000000.000,41000000.000,91000000.000,63000000.000,72000000.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,,,,,1000000.000,,2000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,127000000.000,171000000.000,-89000000.000,-150000000.000,114000000.000,108000000.000,110000000.000,182000000.000,77000000.000,42000000.000,-3000000.000,45000000.000,37000000.000,-438000000.000,34000000.000,44000000.000,,,,,,,,
NetIncomeLossAvailableToCommonStockholdersDiluted,127000000.000,171000000.000,-89000000.000,-150000000.000,114000000.000,108000000.000,110000000.000,182000000.000,77000000.000,42000000.000,-3000000.000,45000000.000,37000000.000,-438000000.000,34000000.000,44000000.000,,,,,,,,
OperatingExpenses,101000000.000,129000000.000,333000000.000,107000000.000,126000000.000,153000000.000,157000000.000,156000000.000,154000000.000,,,,,,,,,,,,,,,
OperatingIncomeLoss,230000000.000,209000000.000,-17000000.000,-111000000.000,208000000.000,191000000.000,193000000.000,142000000.000,142000000.000,75000000.000,-7000000.000,-46000000.000,89000000.000,-410000000.000,72000000.000,35000000.000,38000000.000,64000000.000,94000000.000,89000000.000,75000000.000,101000000.000,152000000.000,141000000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentBeforeTaxPeriodIncreaseDecrease,,,,,16000000.000,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,,,,,10000000.000,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansTax,,,,,-6000000.000,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesBeforeTaxPortionAttributableToParent,,,1000000.000,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesTaxEffectPeriodIncreaseDecrease,,,-1000000.000,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPeriodIncreaseDecrease,1000000.000,6000000.000,,,-1000000.000,,,,,,,,,,,,,,,,,,,
