,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-08-03,2012-10-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
DeferredIncomeTaxesAndOtherAssetsNoncurrent,,,,452000000.000,,,470000000.000,,,,,,,,,,,,,,,,
DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,,,,57000000.000,,,36000000.000,,,,,,,,,,,,,,,,
DeferredRevenue,,129000000.000,122000000.000,120000000.000,,,107000000.000,115000000.000,38000000.000,,,29000000.000,29000000.000,27000000.000,,,,26000000.000,24000000.000,24000000.000,24000000.000,23000000.000,24000000.000
DeferredRevenueCurrent,,,,169000000.000,,,125000000.000,,60000000.000,,,,,46000000.000,,,,,,,,28000000.000,31000000.000
DeferredTaxAssetsDeferredIncome,,,,,,,,,,,,,,,13000000.000,,,,,,,11000000.000,
DeferredTaxAssetsGross,,,,3711000000.000,,,4029000000.000,,,,,,,,1403000000.000,,,,,,,1353000000.000,
DeferredTaxAssetsInProcessResearchAndDevelopment,,,,232000000.000,,,308000000.000,,,,,,,,232000000.000,,,,,,,144000000.000,
DeferredTaxAssetsInventory,,,,33000000.000,,,26000000.000,,,,,,,,20000000.000,,,,,,,10000000.000,
DeferredTaxAssetsLiabilitiesNet,,,,3060000000.000,,,3377000000.000,,,,,,,,1169000000.000,,,,,,,1228000000.000,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,,,,,,,,,,,31000000.000,,,,,,,,
DeferredTaxAssetsNet,,,,500000000.000,,,539000000.000,,,,,,,,42000000.000,,,,,,,19000000.000,
DeferredTaxAssetsNetCurrent,126000000.000,65000000.000,59000000.000,58000000.000,,,75000000.000,468000000.000,,,,53000000.000,44000000.000,49000000.000,31000000.000,25000000.000,24000000.000,21000000.000,22000000.000,19000000.000,,,
DeferredTaxAssetsNetNoncurrent,,,,452000000.000,,,470000000.000,,431000000.000,,,44000000.000,51000000.000,28000000.000,38000000.000,32000000.000,32000000.000,29000000.000,23000000.000,24000000.000,38000000.000,35000000.000,37000000.000
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,,,,154000000.000,,,,,,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwardsNotSubjectToExpiration,,,,592000000.000,,,519000000.000,,,,367000000.000,,,,417000000.000,,,,,,,499000000.000,
DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,,,,3214000000.000,,,3877000000.000,,,,1015000000.000,,,,935000000.000,,,,,,,1158000000.000,
DeferredTaxAssetsOther,,,,406000000.000,,,415000000.000,,,,,,,,111000000.000,,,,,,,80000000.000,
DeferredTaxAssetsOtherLossCarryforwards,,,,1178000000.000,,,1409000000.000,,,,,,,,355000000.000,,,,,,,435000000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,,,,,,,,45000000.000,,,,,,,63000000.000,
DeferredTaxAssetsTaxCreditCarryforwardsForeign,,,,661000000.000,,,577000000.000,,,,101000000.000,,,,258000000.000,,,,,,,335000000.000,
DeferredTaxAssetsTaxCreditCarryforwardsOther,,,,172000000.000,,,153000000.000,,,,,,,,100000000.000,,,,,,,71000000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,,,,69000000.000,,,113000000.000,,,,,,,,43000000.000,,,,,,,41000000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsRestructuringCharges,,,,5000000.000,,,10000000.000,,,,,,,,5000000.000,,,,,,,1000000.000,
DeferredTaxAssetsValuationAllowance,,,,2560000000.000,,,2838000000.000,,45000000.000,,953000000.000,,,,1127000000.000,,,,,,,1209000000.000,
DeferredTaxLiabilities,,,,651000000.000,,,652000000.000,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,,,,,,,,,,,,,,,51000000.000,,,,,,,48000000.000,
DeferredTaxLiabilitiesLeasingArrangements,,,,37000000.000,,,43000000.000,,,,,,,,7000000.000,,,,,,,1000000.000,
DeferredTaxLiabilitiesNoncurrent,,,,7000000.000,,,1000000.000,,,,,,,,26000000.000,,,,,,,16000000.000,17000000.000
DeferredTaxLiabilitiesOther,,,,168000000.000,,,181000000.000,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,373000000.000,,,,374000000.000,,,,213000000.000,,,,176000000.000,,,,,,,76000000.000,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesAfterTax,,,,,,,-73000000.000,,,,,,,,,,,,,,,,
