,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,,,,,,,,,,,,,,,3.810,,,,3.580,,,,2.600,
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,,,,,,,,,,,,,,,3.640,,,,3.010,,,,2.380,
SharesIssuedPricePerShare,,,,,,,,,,,,,3.000,3.000,,,,,,,,,,
SharesOutstanding,,,,,,,,,,25849000.000,,,,,,,,,,,,,,
ShortTermInvestments,,,,,,14988000.000,14984000.000,14989000.000,14988000.000,,,,,,,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,25000.000,25000.000,25000.000
StockholdersEquity,9883000.000,10504000.000,10301000.000,19186000.000,18807000.000,17753000.000,16962000.000,16404000.000,15810000.000,25849000.000,24153000.000,21949000.000,18285000.000,14981000.000,14039000.000,10650000.000,7887000.000,5620000.000,5871000.000,4662000.000,9628000.000,8878000.000,24597000.000,23685000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9883000.000,10504000.000,,19186000.000,18807000.000,17753000.000,16962000.000,16404000.000,15810000.000,25849000.000,24153000.000,21949000.000,18285000.000,14981000.000,14039000.000,10650000.000,7887000.000,5620000.000,5871000.000,4662000.000,9628000.000,8878000.000,24597000.000,23685000.000
TreasuryStockShares,343975.000,343975.000,352649.000,354592.000,354592.000,354592.000,354592.000,354592.000,354592.000,,393175.000,393172.000,393172.000,393172.000,393172.000,393172.000,393172.000,393172.000,393172.000,393172.000,393172.000,393172.000,393172.000,393172.000
TreasuryStockValue,687000.000,687000.000,708000.000,713000.000,713000.000,713000.000,713000.000,713000.000,713000.000,840000.000,840000.000,840000.000,840000.000,840000.000,840000.000,840000.000,840000.000,840000.000,840000.000,840000.000,840000.000,840000.000,840000.000,840000.000
