,2011-04-01,2011-09-30,2011-12-30,2012-03-30,2012-06-29,2012-09-28,2012-12-28,2013-03-29,2013-06-28,2013-09-27,2013-12-27,2014-03-28,2014-06-27,2015-01-02,2015-04-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
NonoperatingIncomeExpense,-57000000.000,-84000000.000,-47000000.000,-51000000.000,-44000000.000,-24000000.000,-56000000.000,-35000000.000,-145000000.000,-38000000.000,-2000000.000,-54000000.000,-126000000.000,73000000.000,-39000000.000,-55000000.000,-49000000.000,-18000000.000,-49000000.000,-48000000.000,-60000000.000,-54000000.000
OperatingIncomeLoss,179000000.000,236000000.000,605000000.000,1210000000.000,1057000000.000,624000000.000,555000000.000,465000000.000,447000000.000,478000000.000,444000000.000,444000000.000,410000000.000,1053000000.000,343000000.000,86000000.000,229000000.000,27000000.000,103000000.000,221000000.000,370000000.000,266000000.000
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,,-1000000.000,,,,26000000.000,-2000000.000,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,,1000000.000,,,,0.000,0.000,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,,,,,,0.000,0.000,0.000,-3000000.000,0.000,1000000.000,0.000,0.000,0.000,0.000,1000000.000,0.000,0.000,7000000.000,0.000,0.000,0.000
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,,-14000000.000,,,,0.000,0.000,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,,,,1000000.000,2000000.000,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,,,,,,5000000.000,0.000,,,,,0.000,,,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,,-8000000.000,,1000000.000,0.000,0.000,2000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,,,,,,,,,-1000000.000,,,,,,
